Arction ref;Libelle court;Categorie;Team;Group;Children;Date;comptage;Eco tCO2e;Eco eau;Eco dechets;;
D04;Donner les habits qui ne nous vont plus ou les jouets qu’‘on utilise plus au lieu de les jeter;Déchets;ROUGES;Rouges CM2;coco;15/12/2024;1;0.017373808;0;0.183461538;;
D02;Garder les restes de repas pour les manger un autre jour;Déchets;ROUGES;Rouges CM2;coco;15/12/2024;1;2.453510562;0;1.390384615;;
E01;Eteindre la lumière quand on quitte la pièce;Electricité;ROUGES;Rouges CM2;coco;15/12/2024;1;0.027408;0;0;;
E08;Prendre seulement 1 bain par semaine;Eau;ROUGES;Rouges maternelles;dinosaure;02/12/2024;1;0.140658;357;0;;
W04;Utiliser une gourde quand on veut boire dehors;Déchets;ROUGES;Rouges maternelles;dinosaure;02/12/2024;1;0.54243;0;0.21;;
D02;Garder les restes de repas pour les manger un autre jour;Déchets;ROUGES;Rouges maternelles;dinosaure;02/12/2024;1;2.453510562;0;1.390384615;;
W06;Bien ranger ses affaires, ses feuilles pour ne pas casser, perdre et devoir racheter inutilement;Déchets;ROUGES;Rouges maternelles;dinosaure;09/12/2024;1;0.017373808;0;0.183461538;;
B07;Aller à l’‘école à pied, faire du covoiturage ou prendre le bus, le vélo, la trottinette…;Transport;ROUGES;Rouges maternelles;lapin;09/12/2024;1;0.506;0;0;;
E08;Couper l’‘eau quand on se savonne les mains;Eau;ROUGES;Rouges maternelles;lapin;09/12/2024;1;0.0049644;12.6;0;;
W02;Couper l’‘eau quand on se brosse les dents et utiliser un gobelet;Eau;ROUGES;Rouges maternelles;lapin;09/12/2024;1;0.011032;28;0;;
D06;Manger moins de viande (manger du poisson ou des œufs);Biodiversité;ROUGES;Rouges maternelles;lapin;09/12/2024;1;5.962226726;0;0;;
T04;Ramasser les déchets et les mettre dans une poubelle;Déchets;ROUGES;Rouges maternelles;lapin;09/12/2024;1;0.00947;0;0.1;;
D10;Utiliser les bacs de tri (noir, vert, jaune);Déchets;ROUGES;Rouges maternelles;lapin;09/12/2024;1;0.866961538;0;0;;
W02;Boire de l’‘eau du robinet plutôt que de l’‘eau en bouteilles en plastique;Déchets;ROUGES;Rouges maternelles;lapin;09/12/2024;1;0.54243;0;0.21;;
T06;Faire un compost;Déchets;ROUGES;Rouges maternelles;lapin;09/12/2024;1;0.0623;0;1.75;;
D04;Donner les habits qui ne nous vont plus ou les jouets qu’‘on utilise plus au lieu de les jeter;Déchets;ROUGES;Rouges maternelles;lapin;09/12/2024;1;0.017373808;0;0.183461538;;
D02;Garder les restes de repas pour les manger un autre jour;Déchets;ROUGES;Rouges maternelles;lapin;09/12/2024;1;2.453510562;0;1.390384615;;
