Action ref;Action;Category;Team;Group;Children;Date;Eco tCO2e;Eco eau;Eco dechets
W02;Utiliser une seule dose de savon;Eau;FEUILLE;Feuille orange;feuille7;17/04/2025;0.05;28;0
E06;Préférer les piles rechargeables;Electricité;FEUILLE;Feuille orange;feuille7;17/04/2025;0.097538;0;0
E02;Ouvrir les volets et ne pas allumer la lumière quand il fait jour dehors. ou éteindre lorsque la lumière extérieure le permet;Electricité;FEUILLE;Feuille orange;feuille7;17/04/2025;0.027408;0;0
C05;Faire soi-même ses produits d’entretien pour éviter les emballages;Courses;FEUILLE;Feuille orange;feuille9;19/05/2025;0.006;0;0.03
D11;Acheter des produits en vrac. éviter les emballages individuels…;Déchets;FEUILLE;Feuille orange;feuille9;19/05/2025;0.38;0;0.67
D10;Ne pas acheter de bouteilles en plastique : boire à la gourde;Déchets;FEUILLE;Feuille orange;feuille9;19/05/2025;0.54243;0;0.21
D08;Utiliser les bacs de tri;Déchets;FEUILLE;Feuille orange;feuille9;19/05/2025;0.866962;0;0
D06;Prendre soin de ses affaires pour les faire durer plus longtemps (reboucher les feutres… ne pas casser. ne pas lancer…);Déchets;FEUILLE;Feuille orange;feuille9;19/05/2025;0.017374;0;0.183462
D02;Tout manger ce qu’il y a dans nos assiettes (cantine/maison);Déchets;FEUILLE;Feuille orange;feuille9;19/05/2025;2.453511;0;1.390385
W07;Vider le reste de sa gourde dans les plantes;Eau;FEUILLE;Feuille orange;feuille9;19/05/2025;0;0.000013;0
W03;Ne pas faire couler l’eau trop longtemps quand on se lave les mains;Eau;FEUILLE;Feuille orange;feuille9;19/05/2025;0.004964;12.6;0
W01;Prendre des douches rapides;Eau;FEUILLE;Feuille orange;feuille9;19/05/2025;0.25;224;0
W02;Utiliser une seule dose de savon;Eau;FEUILLE;Feuille orange;feuille9;19/05/2025;0.05;28;0
T06;Couper le moteur de la voiture quand elle ne roule pas;Transport;FEUILLE;Feuille orange;feuille9;19/05/2025;1.518;0;0
E04;Eteindre les écrans (ordinateur. télévision. …) pour diminuer la consommation d’électricité;Electricité;FEUILLE;Feuille orange;feuille9;19/05/2025;0.15988;0;1
E11;Couvrir les casseroles lorsqu’on fait bouillir de l’eau ou pour cuire…;Electricité;FEUILLE;Feuille orange;feuille9;19/05/2025;0.00293;0;0
E06;Préférer les piles rechargeables;Electricité;FEUILLE;Feuille orange;feuille9;20/05/2025;0.097538;0;0
E10;Faire sécher son linge à l'air libre au lieu d'utiliser le sèche linge chaque fois qu'on peut;Electricité;FEUILLE;Feuille orange;feuille9;20/05/2025;0.413462;0;0
E08;Eteindre le chauffage lorsqu’on aère une pièce;Electricité;FEUILLE;Feuille orange;feuille9;20/05/2025;0.000173;0;0
C06;Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;Courses;FEUILLE;Feuille orange;feuille9;19/05/2025;1.260407;0;0.180058
C03;Acheter des fruits ou légumes de saison;Courses;FEUILLE;Feuille orange;feuille9;19/05/2025;6.932;0;0
D15;Economiser les mouchoirs en papier. l'essuie-tout et le papier toilette;Déchets;FEUILLE;Feuille orange;feuille9;19/05/2025;0.009591;0;0.8
D09;Faire du compost avec les déchets végétaux ou donner les restes alimentaires aux poules…;Déchets;FEUILLE;Feuille orange;feuille9;19/05/2025;0.0623;0;1.75
D07;Vendre ou donner les vêtements. les objets. les jouets dont on ne veut plus (trop petits…);Déchets;FEUILLE;Feuille orange;feuille9;19/05/2025;0.017374;2500;0
