ID_REF action;Titre action;CO2e (kg CO2e / sem);Eau (l /sem);Déchet kg /sem);Catégorie;tCO2e /an;Impact;Impact total;Etoile pondéré;Image
D19;Acheter des appareils électronique reconditionné à faible composante électronique;0.370685;0;0.099962;Déchet;0.019275616;Moderate;0.306544;3;D19.png
D20;Acheter des appareils électronique reconditionné à très faible composante électronique;0.065205;0;0.017584;Déchet;0.003390685;Low;0.053923;2;D20.png
D21;Réduire son budget achat de mobiliers;5.012202;0;0.128846;Déchet;0.26063449;High;4.022646;4;D21.png
D22;Réduire son budget achat de machine et équipements;5.846795;0;0.019231;Déchet;0.304033333;High;4.679359;5;D22.png
E01;Eteindre la lumière quand on quitte une pièce. quand on n’en a pas besoin;0.027408;0;0;Electricité;0.001425216;Low;0.021926;2;E01.jpg
E02;Ouvrir les volets et ne pas allumer la lumière quand il fait jour dehors. ou éteindre lorsque la lumière extérieure le permet;0.027408;0;0;Electricité;0.001425216;Low;0.021926;2;E02.jpg
E03;Eteindre complétement les appareils électriques : téléphone. télévision. tablette… tous les soirs ou pour la journée lorsque je ne suis pas là;0.15988;0;0;Electricité;0.00831376;Low;0.127904;3;E03.jpg
E04;Eteindre les écrans (ordinateur. télévision. …) pour diminuer la consommation d’électricité;0.15988;0;1;Electricité;0.00831376;Low;0.227904;3;E04.png
E05;Préférer les ampoules à basse consommation;0.072803;0;0;Electricité;0.00378573;Low;0.058242;2;E05.jpg
E06;Préférer les piles rechargeables;0.097538;0;0;Electricité;0.00507195;Low;0.07803;2;E06.png
E07;Baisser le chauffage aux enérgies fossiles;24.407463;0;0;Electricité;1.269188072;High;19.52597;5;E07.png
E08;Eteindre le chauffage lorsqu’on aère une pièce;0.000173;0;0;Electricité;0.000008994;Low;0.000138;1;E08.png
E09;Passer moins de temps à regarder des vidéos sur internet;0.002855;0;0;Electricité;0.00014846;Low;0.002284;1;E09.png
E10;Faire sécher son linge à l'air libre au lieu d'utiliser le sèche linge chaque fois qu'on peut;0.413462;0;0;Electricité;0.0215;Moderate;0.330769;3;E10.png
E11;Couvrir les casseroles lorsqu’on fait bouillir de l’eau ou pour cuire…;0.00293;0;0;Electricité;0.000152359;Low;0.002344;1;E11.png
E12;L'été, ne pas mettre la climatisation plus froide que 24°;19.663278;0;0;Electricité;1.022490456;High;15.730622;5;E12.png
T01;Préférer le bus plutôt que la voiture;0.347;0;0;Transport;0.018044;Moderate;0.2776;3;T01.png
T02;Préférer le métro/tramway plutôt que la voiture;0.7491;0;0;Transport;0.0389532;Moderate;0.59928;4;T02.jpg
T03;Préférer la marche ou le vélo plutôt que la voiture;0.506;0;0;Transport;0.026312;Moderate;0.4048;3;T03.png
T04;Faire du covoiturage;0.506;0;0;Transport;0.026312;Moderate;0.4048;3;T04.png
T05;Préférer le train à l'avion;18.2445;0;0;Transport;0.948714;High;14.5956;5;T05.jpg
T06;Couper le moteur de la voiture quand elle ne roule pas;1.518;0;0;Transport;0.078936;Moderate;1.2144;4;T06.png
W01;Prendre des douches rapides;0.088256;224;0;Eau;0.004589312;Low;0.093005;3;W01.jpg
W02;Couper l’eau quand on se brosse les dents : mettre de l’eau dans un verre pour se rincer;0.011032;28;0;Eau;0.000573664;Low;0.011626;2;W02.jpg
W03;Ne pas faire couler l’eau trop longtemps quand on se lave les mains;0.004964;12.6;0;Eau;0.000258149;Low;0.005232;2;W03.jpg
W04;Tirer la petite chasse d’eau quand on fait pipi;0.006501;16.5;0;Eau;0.000338052;Low;0.006851;2;W04.jpg
W05;Ne pas prendre de bain;0.140658;357;0;Eau;0.007314216;Low;0.148226;3;W05.jpg
W06;Récupérer l’eau de pluie ou l’eau froide de la douche avant qu’elle chauffe pour arroser les plantes;0.00917;35;0;Eau;0.00047684;Low;0.010836;2;W06.jpg
W07;Vider le reste de sa gourde dans les plantes;0;0.000013;0;Eau;0;Behaviour;0;1;W07.png
